impl,n,threads,inplace,plan,seed,iters,sec,sec_per_iter,gflops,plan_sec,checksum
fftw,16777216,8,0,estimate,1,2,0.467387660,2.336938300e-01,8.614973,0.003065032,8387412.208752
fftw,67108864,8,0,estimate,1,1,1.430862142,1.430862142e+00,6.097130,0.004069832,33549102.766310
fftw,16777216,8,0,estimate,1,2,0.483547582,2.417737910e-01,8.327064,0.003052830,8387412.208752
fftw,67108864,8,0,estimate,1,1,1.515985780,1.515985780e+00,5.754772,0.004074504,33549102.766310
fftw,16777216,8,0,estimate,1,2,0.503267280,2.516336400e-01,8.000782,0.003051380,8387412.208752
fftw,67108864,8,0,estimate,1,1,1.451943316,1.451943316e+00,6.008604,0.004073920,33549102.766310
fftw,16777216,8,0,estimate,1,2,0.481835282,2.409176410e-01,8.356656,0.003057198,8387412.208752
fftw,67108864,8,0,estimate,1,1,1.456019482,1.456019482e+00,5.991783,0.004119584,33549102.766310
fftw,16777216,8,0,estimate,1,2,0.469728228,2.348641140e-01,8.572046,0.003060452,8387412.208752
fftw,67108864,8,0,estimate,1,1,1.448205374,1.448205374e+00,6.024113,0.004089018,33549102.766310
