impl,n,threads,sec_per_iter,gflops,cycles_per_fft,instr_per_fft,ipc,cache_misses_per_fft,LLC_load_misses_per_fft,dTLB_load_misses_per_fft,cache_miss_rate
fftw,16777216,8,0.23369383,8.614973,4037891702.6,3935263756.9,0.9745837795417055,56894265.1,13407091.6,31292006.0,0.42539660463162826
fftw,16777216,8,0.241773791,8.327064,4037891702.6,3935263756.9,0.9745837795417055,56894265.1,13407091.6,31292006.0,0.42539660463162826
fftw,16777216,8,0.25163364,8.000782,4037891702.6,3935263756.9,0.9745837795417055,56894265.1,13407091.6,31292006.0,0.42539660463162826
fftw,16777216,8,0.240917641,8.356656,4037891702.6,3935263756.9,0.9745837795417055,56894265.1,13407091.6,31292006.0,0.42539660463162826
fftw,16777216,8,0.234864114,8.572046,4037891702.6,3935263756.9,0.9745837795417055,56894265.1,13407091.6,31292006.0,0.42539660463162826
fftw,67108864,8,1.430862142,6.09713,32871979024.6,23842433168.8,0.7253117663210156,523100751.2,137489686.0,170150801.6,0.4642534499914756
fftw,67108864,8,1.51598578,5.754772,32871979024.6,23842433168.8,0.7253117663210156,523100751.2,137489686.0,170150801.6,0.4642534499914756
fftw,67108864,8,1.451943316,6.008604,32871979024.6,23842433168.8,0.7253117663210156,523100751.2,137489686.0,170150801.6,0.4642534499914756
fftw,67108864,8,1.456019482,5.991783,32871979024.6,23842433168.8,0.7253117663210156,523100751.2,137489686.0,170150801.6,0.4642534499914756
fftw,67108864,8,1.448205374,6.024113,32871979024.6,23842433168.8,0.7253117663210156,523100751.2,137489686.0,170150801.6,0.4642534499914756
