impl,n,threads,sec_per_iter,gflops,cycles_per_fft,instr_per_fft,ipc,cache_misses_per_fft,LLC_load_misses_per_fft,dTLB_load_misses_per_fft,cache_miss_rate
fftw,16777216,8,0.241647522,8.331416,4331219688.0,3952248460.4,0.9125024231280693,58181404.3,13024887.7,31934821.9,0.43253642719851004
fftw,16777216,8,0.238509702,8.441023,4331219688.0,3952248460.4,0.9125024231280693,58181404.3,13024887.7,31934821.9,0.43253642719851004
fftw,16777216,8,0.241146606,8.348722,4331219688.0,3952248460.4,0.9125024231280693,58181404.3,13024887.7,31934821.9,0.43253642719851004
fftw,16777216,8,0.240943596,8.355756,4331219688.0,3952248460.4,0.9125024231280693,58181404.3,13024887.7,31934821.9,0.43253642719851004
fftw,16777216,8,0.236349329,8.518179,4331219688.0,3952248460.4,0.9125024231280693,58181404.3,13024887.7,31934821.9,0.43253642719851004
fftw,67108864,8,1.462152684,5.966649,33544568138.0,23890651670.0,0.7122062675457778,538735900.2,131405297.6,175013606.2,0.4718512499456453
fftw,67108864,8,1.443730176,6.042786,33544568138.0,23890651670.0,0.7122062675457778,538735900.2,131405297.6,175013606.2,0.4718512499456453
fftw,67108864,8,1.394353076,6.256774,33544568138.0,23890651670.0,0.7122062675457778,538735900.2,131405297.6,175013606.2,0.4718512499456453
fftw,67108864,8,1.45795268,5.983838,33544568138.0,23890651670.0,0.7122062675457778,538735900.2,131405297.6,175013606.2,0.4718512499456453
fftw,67108864,8,1.457300556,5.986515,33544568138.0,23890651670.0,0.7122062675457778,538735900.2,131405297.6,175013606.2,0.4718512499456453
