policy,impl,n,threads,sec_per_iter,gflops,cycles_per_fft,instr_per_fft,ipc,cache_misses_per_fft,LLC_load_misses_per_fft,dTLB_load_misses_per_fft,cache_miss_rate
all,fftw,16777216,1,0.271487939,7.415674,3234311748.0,4976525369.0,1.5386659532982039,48136786.0,16869121.0,41567816.0,0.40825547517726
all,fftw,16777216,2,0.188427841,10.684546,5865568452.0,5583776402.5,0.9519582710855728,60235295.5,25179907.0,56333009.0,0.5186195739730931
all,fftw,16777216,4,0.095007082,21.190693,4422254185.5,5366448931.0,1.213509831387778,54973176.0,22645583.25,41415151.25,0.5314860999591605
all,fftw,16777216,8,0.06464467725,31.143568,7398788870.0,6434093120.375,0.8696143697873893,66367932.875,29494791.125,58987531.5,0.5811421194525315
all,fftw,16777216,16,0.061425768,32.775592,11901869294.625,8296794160.875,0.6971000903716791,108212394.75,34816621.75,73705645.5,0.6613267556540422
all,fftw,16777216,24,0.038458493,52.349059,12427055247.875,8598408175.125,0.691910352341542,86916824.25,20868827.625,41840944.875,0.6165927533207631
pcore,fftw,16777216,1,0.300339338,6.703304,3976905283.0,5660108331.0,1.4232444396388206,60568851.0,19654057.0,41413530.0,0.44159609841242864
pcore,fftw,16777216,2,0.185513064,10.852421,3789100479.5,4982388736.0,1.3149265275376025,53418655.0,22773490.0,40910510.0,0.5101154954624839
pcore,fftw,16777216,4,0.1018690115,19.763281,4059258875.0,4645209458.5,1.1443491537602415,52708683.75,24961089.25,40230563.0,0.5793623360868442
pcore,fftw,16777216,8,0.057521045,35.00051,4435607270.0,4474961389.375,1.0088723182598174,51058888.25,29338720.375,39176389.25,0.6612805674605
pcore,fftw,16777216,16,0.0574913905,35.018564,8994700483.375,4486562930.75,0.4988007037079847,85199577.375,35867669.0,40119110.0,0.767141523885372
