impl,n,threads,cpu_atom/LLC-load-misses/,cpu_atom/LLC-loads/,cpu_atom/cache-misses/,cpu_atom/cache-references/,cpu_atom/cycles/,cpu_atom/dTLB-load-misses/,cpu_atom/dTLB-loads/,cpu_atom/instructions/,cpu_core/LLC-load-misses/,cpu_core/LLC-loads/,cpu_core/cache-misses/,cpu_core/cache-references/,cpu_core/cycles/,cpu_core/dTLB-load-misses/,cpu_core/dTLB-loads/,cpu_core/instructions/
fftw,1048576,1,,,,,,,,,9941729.0,81171286.0,21781094.0,199489229.0,3385779548.0,775090.0,2531140757.0,8195024586.0
fftw,1048576,16,89.0,326156713.0,31027141.0,545828892.0,36038986040.0,291561820.0,16564831765.0,43788323606.0,44876549.0,789498863.0,71775718.0,2148055737.0,45345301692.0,189318271.0,25034975976.0,80718884592.0
fftw,1048576,2,4975.0,20208915.0,23098360.0,45085472.0,3237840761.0,20114890.0,763463616.0,2636207873.0,25905193.0,165224674.0,36431031.0,257715951.0,8045390180.0,1665979.0,5061461315.0,16331261637.0
fftw,1048576,24,184.0,655556470.0,50706751.0,1082134168.0,54556297050.0,411449834.0,16272631013.0,32911161171.0,87190815.0,1138649044.0,190686742.0,2528133660.0,66242548959.0,594809383.0,18295546120.0,60579052606.0
fftw,1048576,4,0.0,75559951.0,25442279.0,132770606.0,8037091230.0,76184972.0,3700281884.0,9835795649.0,30323259.0,328283418.0,52303161.0,721896893.0,13493231638.0,4345975.0,10169350678.0,32775697825.0
fftw,1048576,8,0.0,147839340.0,22582960.0,276969565.0,16875756338.0,159295656.0,8487105032.0,22592302765.0,41880786.0,674276119.0,67310902.0,1662385445.0,26732046861.0,16493832.0,21007101002.0,67676840960.0
fftw,16777216,1,,,,,,,,,2224469.0,12736798.0,28455922.0,80303174.0,2342801272.0,8523395.0,1593920227.0,6133486767.0
fftw,16777216,16,93195.0,15922980.0,31882839.0,41677617.0,6991105188.0,10053112.0,2125568782.0,5736405589.0,23309253.0,48550574.0,103476322.0,248658319.0,8670935906.0,18805716.0,3941852712.0,15647013495.0
fftw,16777216,2,0.0,3555896.0,4382819.0,18016400.0,1246961675.0,665215.0,418026288.0,1666449806.0,8547608.0,19883457.0,33558341.0,99168223.0,3465369739.0,8754947.0,1697425876.0,6691142930.0
fftw,16777216,24,3059.0,172264984.0,151715598.0,273739357.0,22891258210.0,2148175.0,1613162567.0,4017171646.0,106738604.0,193640207.0,220936641.0,406412295.0,34552697531.0,5265461.0,2130927309.0,8845408071.0
