impl,n,threads,inplace,plan,seed,iters,sec,sec_per_iter,gflops,plan_sec,checksum
fftw,16777216,8,0,estimate,1,2,0.506632924,2.533164620e-01,7.947632,0.003039772,8387412.208752
fftw,67108864,8,0,estimate,1,1,1.432846586,1.432846586e+00,6.088686,0.004076498,33549102.766310
fftw,16777216,8,0,estimate,1,2,0.500480396,2.502401980e-01,8.045334,0.003057120,8387412.208752
fftw,67108864,8,0,estimate,1,1,1.485428038,1.485428038e+00,5.873157,0.004063264,33549102.766310
fftw,16777216,8,0,estimate,1,2,0.508236392,2.541181960e-01,7.922557,0.003058412,8387412.208752
fftw,67108864,8,0,estimate,1,1,1.473189184,1.473189184e+00,5.921950,0.004079642,33549102.766310
fftw,16777216,8,0,estimate,1,2,0.481963832,2.409819160e-01,8.354427,0.003048028,8387412.208752
fftw,67108864,8,0,estimate,1,1,1.418493040,1.418493040e+00,6.150296,0.004085898,33549102.766310
fftw,16777216,8,0,estimate,1,2,0.478924092,2.394620460e-01,8.407453,0.003055838,8387412.208752
fftw,67108864,8,0,estimate,1,1,1.443040130,1.443040130e+00,6.045675,0.004068362,33549102.766310
