impl,n,threads,inplace,plan,seed,iters,sec,sec_per_iter,gflops,plan_sec,checksum
fftw,16777216,8,0,estimate,1,2,0.483295044,2.416475220e-01,8.331416,0.003160702,8387412.208752
fftw,67108864,8,0,estimate,1,1,1.462152684,1.462152684e+00,5.966649,0.004195860,33549102.766310
fftw,16777216,8,0,estimate,1,2,0.477019404,2.385097020e-01,8.441023,0.003173482,8387412.208752
fftw,67108864,8,0,estimate,1,1,1.443730176,1.443730176e+00,6.042786,0.004199622,33549102.766310
fftw,16777216,8,0,estimate,1,2,0.482293212,2.411466060e-01,8.348722,0.003197356,8387412.208752
fftw,67108864,8,0,estimate,1,1,1.394353076,1.394353076e+00,6.256774,0.004401472,33549102.766310
fftw,16777216,8,0,estimate,1,2,0.481887192,2.409435960e-01,8.355756,0.003162692,8387412.208752
fftw,67108864,8,0,estimate,1,1,1.457952680,1.457952680e+00,5.983838,0.004181982,33549102.766310
fftw,16777216,8,0,estimate,1,2,0.472698658,2.363493290e-01,8.518179,0.003171982,8387412.208752
fftw,67108864,8,0,estimate,1,1,1.457300556,1.457300556e+00,5.986515,0.004182600,33549102.766310
